GMID,Name,School,Year,PercShotS2P,S2PPer,PercShotl2P,L2PPer,PercL2PLC,PercShot3P,ThreePer,Perc3PLC
98482,TyQuayion Smith,Alcorn State,2015,NA,NA,NA,NA,0.00%,NA,NA,NA
98482,TyQuayion Smith,Alcorn State,2016,0.00%,NA,0.00%,NA,NA,100.00%,25.00%,100.00%
98482,TyQuayion Smith,Alcorn State,2017,33.33%,100.00%,33.33%,0.00%,16.67%,33.33%,100.00%,33.33%
98482,TyQuayion Smith,Alcorn State,2017,33.33%,100.00%,33.33%,0.00%,16.67%,33.33%,100.00%,33.33%
98483,Shawn Willett,Alcorn State,2015,42.86%,66.67%,14.29%,100.00%,20.00%,42.86%,0.00%,27.27%
98549,Christian Foxen,Connecticut,2015,33.33%,100.00%,0.00%,NA,NA,66.67%,0.00%,66.67%
98549,Christian Foxen,Connecticut,2016,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,100.00%
98550,Caleb Wallingford,Memphis,2015,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,25.00%
98553,Michael Schwieterman,Dayton,2015,NA,NA,NA,NA,NA,NA,NA,NA
98554,Jack Westerfield,Dayton,2016,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,100.00%
98554,Jack Westerfield,Dayton,2017,50.00%,0.00%,0.00%,NA,NA,50.00%,0.00%,14.29%
98562,Zach Snyder,Duquesne,2017,NA,NA,NA,NA,NA,NA,NA,0.00%
98565,Chris Downing,Fordham,2015,NA,NA,NA,NA,NA,NA,NA,NA
98565,Chris Downing,Fordham,2017,25.00%,100.00%,75.00%,0.00%,60.00%,0.00%,NA,NA
98566,Malik Hines,Massachusetts,2015,100.00%,0.00%,0.00%,NA,0.00%,0.00%,NA,NA
98566,Malik Hines,Massachusetts,2016,82.35%,71.43%,17.65%,0.00%,30.00%,0.00%,NA,NA
98566,Malik Hines,Massachusetts,2017,68.00%,79.41%,32.00%,37.50%,39.02%,0.00%,NA,NA
98567,Caleb McGuire,St. Bonaventure,2016,NA,NA,NA,NA,NA,NA,NA,NA
98589,Chad Holtz,Notre Dame,2015,NA,NA,NA,NA,NA,NA,NA,NA
98590,Ryan Seelye,Pittsburgh,2015,NA,NA,NA,NA,0.00%,NA,NA,0.00%
98590,Ryan Seelye,Pittsburgh,2016,NA,NA,NA,NA,0.00%,NA,NA,NA
98591,Evan Dourdas,Syracuse,2015,NA,NA,NA,NA,NA,NA,NA,NA
98711,Dwayne Banks,South Carolina State,2017,27.27%,33.33%,36.36%,0.00%,66.67%,36.36%,25.00%,50.00%
98773,Jacque Brown,UNC Wilmington,2017,0.00%,NA,61.54%,62.50%,18.60%,38.46%,0.00%,20.00%
98853,Daniel Terpin,Jacksonville,2015,0.00%,NA,100.00%,0.00%,50.00%,0.00%,NA,0.00%
98854,Seth Callahan,N.J.I.T.,2015,NA,NA,NA,NA,0.00%,NA,NA,0.00%
98855,James McMillon,N.J.I.T.,2015,0.00%,NA,100.00%,0.00%,100.00%,0.00%,NA,NA
98855,James McMillon,N.J.I.T.,2016,NA,NA,NA,NA,NA,NA,NA,NA
98856,Will Hollmann,Stetson,2015,NA,NA,NA,NA,0.00%,NA,NA,0.00%
98856,Will Hollmann,Stetson,2016,NA,NA,NA,NA,NA,NA,NA,NA
98857,Matthew Temple,Texas Tech,2015,50.00%,75.00%,41.67%,30.00%,34.48%,8.33%,50.00%,40.00%
98857,Matthew Temple,Texas Tech,2016,30.43%,42.86%,17.39%,75.00%,28.57%,52.17%,41.67%,63.16%
98858,Ashanti Burgess,Xavier,2015,0.00%,NA,100.00%,0.00%,100.00%,0.00%,NA,NA
98875,Cooper Olson,Montana State,2016,0.00%,NA,0.00%,NA,NA,100.00%,50.00%,100.00%
98877,Steven Stanley,Northern Arizona,2015,66.67%,100.00%,33.33%,0.00%,100.00%,0.00%,NA,NA
98877,Steven Stanley,Northern Arizona,2016,50.00%,100.00%,50.00%,100.00%,25.00%,0.00%,NA,NA
98878,Omar Ndiaye,Northern Arizona,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
98878,Omar Ndiaye,Northern Arizona,2016,NA,NA,NA,NA,NA,NA,NA,0.00%
98878,Omar Ndiaye,Northern Arizona,2017,NA,NA,NA,NA,NA,NA,NA,0.00%
98880,Joel Swallow,Southern Utah,2016,NA,NA,NA,NA,NA,NA,NA,NA
98880,Joel Swallow,Southern Utah,2017,100.00%,0.00%,0.00%,NA,NA,0.00%,NA,NA
98881,Adonis Saltes,Southern Utah,2015,NA,NA,NA,NA,NA,NA,NA,NA
98881,Adonis Saltes,Southern Utah,2016,0.00%,NA,100.00%,0.00%,50.00%,0.00%,NA,NA
98882,Matthew Johnson,Southern Utah,2015,NA,NA,NA,NA,0.00%,NA,NA,0.00%
98882,Matthew Johnson,Southern Utah,2016,14.29%,100.00%,14.29%,0.00%,16.67%,71.43%,40.00%,17.24%
98882,Matthew Johnson,Southern Utah,2017,0.00%,NA,0.00%,NA,0.00%,100.00%,100.00%,9.09%
98883,Paris Davis,Southern Utah,2015,60.00%,33.33%,40.00%,83.33%,37.50%,0.00%,NA,NA
98884,Brenden Morris,Weber State,2016,NA,NA,NA,NA,0.00%,NA,NA,0.00%
98884,Brenden Morris,Weber State,2017,0.00%,NA,100.00%,100.00%,50.00%,0.00%,NA,0.00%
98885,TayVaughn Major,Charleston Southern,2016,NA,NA,NA,NA,0.00%,NA,NA,NA
98886,Chris Shields,Longwood,2015,25.00%,66.67%,58.33%,57.14%,24.14%,16.67%,0.00%,6.90%
98886,Chris Shields,Longwood,2016,9.76%,75.00%,51.22%,38.10%,31.82%,39.02%,43.75%,28.07%
98886,Chris Shields,Longwood,2017,31.58%,50.00%,31.58%,33.33%,23.08%,36.84%,28.57%,17.07%
98887,Harrison Burton,Presbyterian,2015,NA,NA,NA,NA,NA,NA,NA,NA
98890,Kent Auslander,Maryland,2015,0.00%,NA,100.00%,0.00%,100.00%,0.00%,NA,NA
98890,Kent Auslander,Coppin State,2017,13.04%,66.67%,17.39%,25.00%,28.57%,69.57%,6.25%,29.09%
98891,Andrew Terrell,Maryland,2015,0.00%,NA,0.00%,NA,NA,100.00%,50.00%,100.00%
98891,Andrew Terrell,Maryland,2016,NA,NA,NA,NA,NA,NA,NA,0.00%
98891,Andrew Terrell,Maryland,2017,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,50.00%
98893,Charlie Hall,Northwestern,2015,NA,NA,NA,NA,NA,NA,NA,NA
98893,Charlie Hall,Northwestern,2016,NA,NA,NA,NA,NA,NA,NA,0.00%
98893,Charlie Hall,Northwestern,2017,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,100.00%
98895,Joey Lane,Ohio State,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
98895,Joey Lane,Ohio State,2016,NA,NA,NA,NA,NA,NA,NA,0.00%
98895,Joey Lane,Ohio State,2017,0.00%,NA,0.00%,NA,0.00%,100.00%,33.33%,42.86%
98899,Sam Halle,Penn State,2015,NA,NA,NA,NA,NA,NA,NA,NA
98900,Will Decorah,Wisconsin,2015,NA,NA,NA,NA,NA,NA,NA,NA
98917,Andrew Cartwright,Drexel,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
98919,Chandler Fraser-Pauls,Drexel,2015,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,100.00%
98930,Luke Walker,Louisiana Tech,2015,50.00%,0.00%,50.00%,0.00%,25.00%,0.00%,NA,NA
98930,Luke Walker,Louisiana Tech,2016,25.00%,0.00%,75.00%,33.33%,33.33%,0.00%,NA,NA
98932,"Patrick Robinson, Jr.",Detroit-Mercy,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
98932,"Patrick Robinson, Jr.",Detroit-Mercy,2016,16.67%,50.00%,0.00%,NA,0.00%,83.33%,30.00%,17.54%
98934,Baylor Peterson,Milwaukee,2015,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,33.33%
98934,Baylor Peterson,Milwaukee,2016,NA,NA,NA,NA,NA,NA,NA,0.00%
98935,Skyler Kolli,Northern Kentucky,2015,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,100.00%
98936,Thomas Ryan,Yale,2015,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,66.67%
98936,Thomas Ryan,Yale,2016,0.00%,NA,0.00%,NA,0.00%,100.00%,100.00%,25.00%
98936,Thomas Ryan,Yale,2017,50.00%,0.00%,50.00%,100.00%,100.00%,0.00%,NA,0.00%
98937,Saren Westrop,Iona,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
98938,Jay Camus,St. John's,2017,NA,NA,NA,NA,NA,NA,NA,0.00%
98939,Matt Maloney,Manhattan,2015,0.00%,NA,0.00%,NA,NA,100.00%,20.00%,45.45%
98943,Jacques Robertson,Saint Peter's,2015,NA,NA,NA,NA,NA,NA,NA,NA
98944,J.R. William,Saint Peter's,2016,NA,NA,NA,NA,0.00%,NA,NA,0.00%
98945,Josh Thompson (2),Ball State,2016,50.00%,0.00%,50.00%,0.00%,100.00%,0.00%,NA,NA
98945,Josh Thompson (2),Ball State,2017,50.00%,100.00%,0.00%,NA,NA,50.00%,0.00%,11.11%
98946,Blake Brown,Eastern Michigan,2015,100.00%,0.00%,0.00%,NA,NA,0.00%,NA,NA
98946,Blake Brown,Eastern Michigan,2016,NA,NA,NA,NA,NA,NA,NA,NA
98947,Jaylin McDonald,Ohio,2015,100.00%,100.00%,0.00%,NA,NA,0.00%,NA,NA
98947,Jaylin McDonald,Ohio,2016,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,25.00%
98947,Jaylin McDonald,Ohio,2017,NA,NA,NA,NA,NA,NA,NA,NA
98948,"Fred John, Jr.",Toledo,2015,100.00%,0.00%,0.00%,NA,NA,0.00%,NA,NA
98950,Malik Carter,Delaware State,2015,11.11%,0.00%,38.89%,28.57%,53.85%,50.00%,22.22%,75.00%
98951,Mahir Johnson,Delaware State,2015,20.00%,0.00%,0.00%,NA,0.00%,80.00%,25.00%,57.14%
98951,Mahir Johnson,Delaware State,2016,16.67%,100.00%,66.67%,50.00%,36.36%,16.67%,100.00%,100.00%
98952,Joseph Lewis,Delaware State,2015,17.14%,50.00%,62.86%,18.18%,34.38%,20.00%,28.57%,31.82%
98952,Joseph Lewis,Delaware State,2016,28.30%,66.67%,54.72%,17.24%,50.00%,16.98%,22.22%,50.00%
98952,Joseph Lewis,Delaware State,2017,20.69%,75.00%,65.52%,39.47%,46.91%,13.79%,25.00%,38.10%
98953,Demola Onifade,Delaware State,2015,20.00%,33.33%,80.00%,33.33%,35.29%,0.00%,NA,NA
98953,Demola Onifade,Delaware State,2016,18.18%,0.00%,81.82%,5.56%,56.25%,0.00%,NA,NA
98953,Demola Onifade,Delaware State,2017,25.00%,20.00%,75.00%,6.67%,51.72%,0.00%,NA,NA
98956,Cameron Lewis,Howard,2015,50.00%,0.00%,50.00%,50.00%,33.33%,0.00%,NA,NA
98956,Cameron Lewis,Howard,2016,33.33%,0.00%,66.67%,100.00%,16.67%,0.00%,NA,0.00%
98956,Cameron Lewis,Howard,2017,48.00%,75.00%,52.00%,23.08%,29.55%,0.00%,NA,0.00%
98957,Chuck Smith,Howard,2015,100.00%,0.00%,0.00%,NA,0.00%,0.00%,NA,NA
98957,Chuck Smith,Howard,2016,33.33%,0.00%,0.00%,NA,0.00%,66.67%,0.00%,66.67%
98958,Maurice Coleman,Maryland-Eastern Shore,2015,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,100.00%
98959,Bakari Copeland,Charleston Southern,2013,28.57%,100.00%,14.29%,100.00%,16.67%,57.14%,50.00%,20.00%
98959,Bakari Copeland,Maryland-Eastern Shore,2015,52.63%,45.00%,18.42%,21.43%,37.84%,28.95%,27.27%,33.85%
98959,Bakari Copeland,Maryland-Eastern Shore,2016,29.66%,48.57%,48.31%,38.60%,32.20%,22.03%,53.85%,27.96%
98960,Thomas Rivera,Maryland-Eastern Shore,2015,27.91%,25.00%,34.88%,26.67%,48.39%,37.21%,18.75%,34.78%
98960,Thomas Rivera,Maryland-Eastern Shore,2016,14.71%,10.00%,33.82%,34.78%,53.49%,51.47%,25.71%,42.68%
98961,Marc Seylan,Maryland-Eastern Shore,2015,33.33%,66.67%,33.33%,33.33%,60.00%,33.33%,0.00%,42.86%
98961,Marc Seylan,Maryland-Eastern Shore,2016,18.18%,50.00%,54.55%,0.00%,31.58%,27.27%,0.00%,37.50%
98963,Anthony Tate,Morgan State,2015,NA,NA,NA,NA,NA,NA,NA,NA
98964,Jason Baxter,Savannah State,2015,NA,NA,NA,NA,0.00%,NA,NA,NA
98966,Isaiah Felder,Savannah State,2015,7.41%,100.00%,29.63%,25.00%,53.33%,62.96%,29.41%,33.33%
98966,Isaiah Felder,Savannah State,2016,0.00%,NA,20.00%,100.00%,16.67%,80.00%,25.00%,6.45%
98966,Isaiah Felder,Savannah State,2017,0.00%,NA,40.00%,0.00%,66.67%,60.00%,66.67%,3.95%
98967,Teslim Idris,Savannah State,2015,42.86%,33.33%,14.29%,50.00%,18.18%,42.86%,33.33%,54.55%
98970,Brandon Jordan,Savannah State,2015,28.57%,50.00%,71.43%,60.00%,83.33%,0.00%,NA,NA
98970,Brandon Jordan,Savannah State,2016,NA,NA,NA,NA,NA,NA,NA,NA
98971,Troyce Manassa,Savannah State,2015,25.89%,44.83%,45.54%,27.45%,45.54%,28.57%,28.13%,49.23%
98971,Troyce Manassa,Savannah State,2016,22.86%,37.50%,42.86%,40.00%,20.55%,34.29%,25.00%,7.02%
98973,Dexter McClanahan,Savannah State,2015,36.00%,55.56%,16.00%,25.00%,44.44%,48.00%,16.67%,33.33%
98973,Dexter McClanahan,Savannah State,2016,27.27%,50.00%,18.18%,50.00%,19.05%,54.55%,8.33%,6.00%
98973,Dexter McClanahan,Savannah State,2017,33.33%,70.00%,10.00%,0.00%,7.32%,56.67%,35.29%,7.83%
98974,Casey Wells,Savannah State,2015,5.00%,100.00%,0.00%,NA,0.00%,95.00%,26.32%,33.33%
98974,Casey Wells,Savannah State,2016,0.00%,NA,0.00%,NA,0.00%,100.00%,50.00%,6.67%
98990,Bobby Mannie,Southern Illinois,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
99001,Justin Botteri,Nevada,2015,NA,NA,NA,NA,0.00%,NA,NA,NA
99002,Connor Joy,New Mexico,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
99003,J.J. Cratit,Central Connecticut State,2015,21.28%,60.00%,42.55%,10.00%,42.55%,36.17%,35.29%,31.48%
99004,Malcolm Simmons,Central Connecticut State,2015,NA,NA,NA,NA,NA,NA,NA,NA
99005,Marshawn Blackmon,Eastern Illinois,2015,44.00%,63.64%,44.00%,27.27%,42.31%,12.00%,33.33%,100.00%
99006,Aboubacar Diallo,Eastern Illinois,2015,0.00%,NA,100.00%,0.00%,25.00%,0.00%,NA,NA
99006,Aboubacar Diallo,Eastern Illinois,2016,40.00%,50.00%,60.00%,33.33%,33.33%,0.00%,NA,NA
99006,Aboubacar Diallo,Eastern Illinois,2017,38.46%,60.00%,61.54%,37.50%,53.33%,0.00%,NA,NA
99007,Patrick Muldoon,Eastern Illinois,2015,28.13%,88.89%,68.75%,54.55%,29.33%,3.13%,0.00%,100.00%
99007,Patrick Muldoon,Eastern Illinois,2016,21.05%,37.50%,78.95%,40.00%,32.61%,0.00%,NA,NA
99008,Des Curry,Jacksonville State,2016,66.67%,50.00%,0.00%,NA,0.00%,33.33%,0.00%,100.00%
99008,Des Curry,Jacksonville State,2017,0.00%,NA,80.00%,25.00%,50.00%,20.00%,0.00%,25.00%
99012,Shazier Lawson,Arizona State,2015,NA,NA,NA,NA,NA,NA,NA,NA
99013,Phil Richmond,Oregon,2015,NA,NA,NA,NA,NA,NA,NA,NA
99018,Daniel Andrews,Army,2015,NA,NA,NA,NA,NA,NA,NA,NA
99018,Daniel Andrews,Army,2016,NA,NA,NA,NA,NA,NA,NA,NA
99019,Cayne Edwards,Army,2015,0.00%,NA,100.00%,100.00%,100.00%,0.00%,NA,0.00%
99019,Cayne Edwards,Army,2016,0.00%,NA,50.00%,0.00%,100.00%,50.00%,0.00%,100.00%
99019,Cayne Edwards,Army,2017,NA,NA,NA,NA,0.00%,NA,NA,NA
99020,John Emezie,Army,2015,42.86%,66.67%,21.43%,66.67%,50.00%,35.71%,20.00%,15.15%
99020,John Emezie,Army,2016,35.48%,45.45%,16.13%,0.00%,18.52%,48.39%,26.67%,17.65%
99020,John Emezie,Army,2017,23.53%,25.00%,23.53%,75.00%,50.00%,52.94%,55.56%,19.57%
99021,Parker Fennema,Army,2017,NA,NA,NA,NA,0.00%,NA,NA,0.00%
99022,Jordan Fox,Army,2015,18.75%,0.00%,31.25%,40.00%,25.00%,50.00%,37.50%,29.63%
99022,Jordan Fox,Army,2016,10.64%,80.00%,27.66%,23.08%,13.27%,61.70%,34.48%,18.01%
99022,Jordan Fox,Army,2017,16.67%,42.86%,23.81%,30.00%,14.29%,59.52%,40.00%,13.30%
99023,Jason Houle,Army,2016,0.00%,NA,100.00%,0.00%,100.00%,0.00%,NA,0.00%
99023,Jason Houle,Army,2017,0.00%,NA,100.00%,0.00%,100.00%,0.00%,NA,0.00%
99024,Ben Mammel,Army,2016,100.00%,100.00%,0.00%,NA,NA,0.00%,NA,0.00%
99025,T.J. Parham,Green Bay,2017,15.79%,33.33%,21.05%,50.00%,11.43%,63.16%,50.00%,16.22%
99026,Adam Roe,Army,2015,9.09%,0.00%,9.09%,100.00%,12.50%,81.82%,44.44%,13.43%
99026,Adam Roe,Army,2016,25.00%,100.00%,0.00%,NA,0.00%,75.00%,0.00%,13.04%
99027,Ryan Diew,Colgate,2015,NA,NA,NA,NA,NA,NA,NA,NA
99027,Ryan Diew,Colgate,2016,NA,NA,NA,NA,NA,NA,NA,0.00%
99028,Thomas Kennedy (2),Holy Cross,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
99028,Thomas Kennedy (2),Holy Cross,2016,NA,NA,NA,NA,0.00%,NA,NA,NA
99029,Patrick Rielly,Holy Cross,2015,NA,NA,NA,NA,0.00%,NA,NA,0.00%
99029,Patrick Rielly,Holy Cross,2016,NA,NA,NA,NA,0.00%,NA,NA,NA
99030,Jay Jay Davis,Lehigh,2015,33.33%,0.00%,0.00%,NA,NA,66.67%,0.00%,66.67%
99030,Jay Jay Davis,Lehigh,2016,NA,NA,NA,NA,0.00%,NA,NA,0.00%
99030,Jay Jay Davis,Lehigh,2017,NA,NA,NA,NA,NA,NA,NA,NA
99031,Dom Antonelli,Navy,2016,0.00%,NA,0.00%,NA,NA,100.00%,50.00%,50.00%
99031,Dom Antonelli,Navy,2017,66.67%,50.00%,0.00%,NA,0.00%,33.33%,0.00%,16.67%
99035,Mo Lewis,Navy,2016,NA,NA,NA,NA,0.00%,NA,NA,NA
99035,Mo Lewis,Navy,2017,100.00%,50.00%,0.00%,NA,0.00%,0.00%,NA,NA
99036,Nathan Messer,Navy,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
99064,Jhonny Victor,Florida,2015,100.00%,0.00%,0.00%,NA,NA,0.00%,NA,NA
99065,Carter Holmes,Mississippi State,2015,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,50.00%
99066,Jett Jobe,Mississippi State,2015,0.00%,NA,100.00%,0.00%,33.33%,0.00%,NA,NA
99067,Reggie Patterson,Mississippi State,2015,NA,NA,NA,NA,0.00%,NA,NA,0.00%
99068,Joe Strugg,Mississippi State,2016,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,66.67%
99069,Jake Coddington,Ole Miss,2015,0.00%,NA,100.00%,100.00%,100.00%,0.00%,NA,0.00%
99070,Lucas Campbell,Tennessee,2015,0.00%,NA,50.00%,0.00%,100.00%,50.00%,0.00%,50.00%
99070,Lucas Campbell,Tennessee,2016,NA,NA,NA,NA,NA,NA,NA,NA
99070,Lucas Campbell,Tennessee,2017,NA,NA,NA,NA,NA,NA,NA,0.00%
99071,Frank Byers,Texas A&M,2015,NA,NA,NA,NA,0.00%,NA,NA,0.00%
99071,Frank Byers,Texas A&M,2016,NA,NA,NA,NA,NA,NA,NA,NA
99071,Frank Byers,Texas A&M,2017,NA,NA,NA,NA,NA,NA,NA,0.00%
99072,Will Weethee,Virginia Military,2015,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,100.00%
99072,Will Weethee,Virginia Military,2016,NA,NA,NA,NA,NA,NA,NA,0.00%
99073,Rashawn Green,Alabama A&M,2015,25.00%,100.00%,8.33%,0.00%,14.29%,66.67%,12.50%,14.55%
99076,Mohamed Sherif,Alabama A&M,2015,100.00%,0.00%,0.00%,NA,0.00%,0.00%,NA,NA
99076,Mohamed Sherif,Alabama A&M,2016,66.67%,64.29%,33.33%,42.86%,43.75%,0.00%,NA,NA
99076,Mohamed Sherif,Alabama A&M,2017,78.72%,40.54%,21.28%,0.00%,29.41%,0.00%,NA,0.00%
99076,Mohamed Sherif,Alabama A&M,2017,78.72%,40.54%,21.28%,0.00%,29.41%,0.00%,NA,0.00%
99077,Christopher Thomas,Alabama A&M,2015,10.00%,66.67%,13.33%,25.00%,19.05%,76.67%,21.74%,47.92%
99077,Christopher Thomas,Alabama A&M,2016,17.65%,100.00%,35.29%,16.67%,60.00%,47.06%,25.00%,57.14%
99082,"Michael Bethea, Jr.",Grambling State,2015,2.44%,0.00%,7.32%,33.33%,12.00%,90.24%,32.43%,30.58%
99083,Deonte Hearns,Grambling State,2015,58.14%,52.00%,37.21%,18.75%,43.24%,4.65%,0.00%,50.00%
99083,Deonte Hearns,Grambling State,2016,75.00%,44.44%,25.00%,0.00%,37.50%,0.00%,NA,0.00%
99084,Ugur Hortum,Grambling State,2015,45.45%,33.33%,42.42%,21.43%,53.85%,12.12%,25.00%,20.00%
99085,Ervin Mitchell,Grambling State,2015,17.24%,30.00%,32.76%,42.11%,28.36%,50.00%,24.14%,34.12%
99085,Ervin Mitchell,Grambling State,2016,39.51%,50.00%,22.22%,16.67%,18.00%,38.27%,45.16%,29.25%
99086,Paris Collins,Jackson State,2015,20.66%,52.00%,17.36%,38.10%,30.88%,61.98%,24.00%,38.66%
99086,Paris Collins,Jackson State,2016,10.84%,55.56%,27.71%,39.13%,30.67%,61.45%,19.61%,35.17%
99086,Paris Collins,Jackson State,2017,20.65%,52.63%,22.83%,23.81%,30.00%,56.52%,36.54%,41.94%
99088,Haudrick Hilaire,Jackson State,2015,NA,NA,NA,NA,NA,NA,NA,NA
99089,Lindsey Hunter IV,Jackson State,2015,NA,NA,NA,NA,NA,NA,NA,NA
99090,Jesse Love,Jackson State,2016,0.00%,NA,28.57%,0.00%,66.67%,71.43%,20.00%,55.56%
99090,Jesse Love,Jackson State,2017,14.29%,25.00%,28.57%,12.50%,72.73%,57.14%,31.25%,53.33%
99091,Trey Ford,Appalachian State,2015,NA,NA,NA,NA,NA,NA,NA,0.00%
99091,Trey Ford,Appalachian State,2016,NA,NA,NA,NA,NA,NA,NA,0.00%
99091,Trey Ford,Appalachian State,2017,NA,NA,NA,NA,NA,NA,NA,0.00%
99092,Kevin Kerley,Appalachian State,2015,NA,NA,NA,NA,NA,NA,NA,NA
99092,Kevin Kerley,Appalachian State,2016,0.00%,NA,0.00%,NA,0.00%,100.00%,50.00%,66.67%
99092,Kevin Kerley,Appalachian State,2017,100.00%,0.00%,0.00%,NA,NA,0.00%,NA,0.00%
99099,Emil Knighton,Denver,2016,NA,NA,NA,NA,NA,NA,NA,NA
99099,Emil Knighton,Denver,2017,100.00%,0.00%,0.00%,NA,0.00%,0.00%,NA,NA
99102,Ryan Maas,Western Illinois,2016,0.00%,NA,100.00%,0.00%,100.00%,0.00%,NA,NA
99102,Ryan Maas,Western Illinois,2017,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,12.50%
99104,Jason Braden,Pacific,2015,NA,NA,NA,NA,0.00%,NA,NA,NA
99105,Dan Sheets,Saint Mary's,2016,NA,NA,NA,NA,NA,NA,NA,NA
99105,Dan Sheets,Saint Mary's,2017,NA,NA,NA,NA,NA,NA,NA,NA
99106,Darryl Geyen,Cal State Bakersfield,2015,0.00%,NA,0.00%,NA,0.00%,100.00%,0.00%,50.00%
99107,Zack Moore,Seattle,2015,0.00%,NA,11.11%,100.00%,25.00%,88.89%,50.00%,36.36%
99107,Zack Moore,Seattle,2016,10.64%,40.00%,10.64%,20.00%,31.25%,78.72%,37.84%,20.44%
99108,Brendan Westendorf,Seattle,2015,14.55%,25.00%,45.45%,32.00%,27.78%,40.00%,31.82%,19.82%
99108,Brendan Westendorf,Seattle,2016,14.13%,53.85%,34.78%,40.63%,41.56%,51.09%,38.30%,27.01%
99109,Mario Soto,Eastern Washington,2016,0.00%,NA,40.00%,0.00%,100.00%,60.00%,0.00%,20.00%
99324,Tevin Foster,Abilene Christian,2017,28.57%,55.56%,25.40%,50.00%,34.04%,46.03%,37.93%,20.71%
99324,Tevin Foster,Abilene Christian,2017,28.57%,55.56%,25.40%,50.00%,34.04%,46.03%,37.93%,20.71%
99577,Jelani Pruitt,Chicago State,2017,25.71%,77.78%,62.86%,9.09%,37.93%,11.43%,25.00%,17.39%
99694,Tereke Eckwood,Mississippi Valley State,2017,19.51%,50.00%,53.66%,31.82%,50.00%,26.83%,18.18%,44.00%
99733,Miles Wentzien,Northern Iowa,2017,0.00%,NA,28.57%,0.00%,66.67%,71.43%,20.00%,83.33%
99773,Eli Sample,Southeast Missouri State,2016,20.00%,100.00%,60.00%,0.00%,100.00%,20.00%,0.00%,33.33%
101205,Drew Bost,East Carolina,2015,0.00%,NA,0.00%,NA,NA,100.00%,0.00%,25.00%
101206,Justice Obasohan,East Carolina,2015,NA,NA,NA,NA,NA,NA,NA,NA
101206,Justice Obasohan,East Carolina,2016,NA,NA,NA,NA,NA,NA,NA,NA
101206,Justice Obasohan,East Carolina,2017,0.00%,NA,100.00%,20.00%,55.56%,0.00%,NA,0.00%
101216,Nate Allen,North Carolina Central,2015,28.57%,50.00%,0.00%,NA,0.00%,71.43%,0.00%,20.83%
101226,J'Breun Sprinkle,Arkansas-Pine Bluff,2015,50.00%,100.00%,0.00%,NA,0.00%,50.00%,50.00%,100.00%
101226,J'Breun Sprinkle,Arkansas-Pine Bluff,2017,0.00%,NA,50.00%,0.00%,100.00%,50.00%,100.00%,100.00%
101227,Marcus Wallace (2),Arkansas-Pine Bluff,2015,17.54%,50.00%,10.53%,16.67%,37.50%,71.93%,26.83%,55.41%
101227,Marcus Wallace (2),Arkansas-Pine Bluff,2016,33.33%,50.00%,29.17%,42.86%,46.67%,37.50%,22.22%,30.00%
101227,Marcus Wallace (2),Arkansas-Pine Bluff,2017,100.00%,0.00%,0.00%,NA,NA,0.00%,NA,NA
101228,Charles Jackson (2),Arkansas-Pine Bluff,2015,11.32%,66.67%,16.98%,22.22%,34.62%,71.70%,39.47%,36.54%
101228,Charles Jackson (2),Arkansas-Pine Bluff,2016,16.00%,12.50%,24.00%,33.33%,50.00%,60.00%,43.33%,29.70%
101228,Charles Jackson (2),Arkansas-Pine Bluff,2017,6.67%,60.00%,33.33%,44.00%,46.30%,60.00%,26.67%,28.30%
101229,Marquis Cunningham,Arkansas-Pine Bluff,2015,34.88%,80.00%,62.79%,55.56%,27.00%,2.33%,0.00%,50.00%
101229,Marquis Cunningham,Arkansas-Pine Bluff,2016,20.00%,75.00%,80.00%,25.00%,44.44%,0.00%,NA,NA
101230,Deshon Bayless,Arkansas-Pine Bluff,2015,19.05%,50.00%,52.38%,27.27%,37.93%,28.57%,33.33%,26.09%
101230,Deshon Bayless,Arkansas-Pine Bluff,2016,25.71%,66.67%,42.86%,26.67%,32.61%,31.43%,36.36%,37.93%
